#{"t_start": 1764081868.5235157, "env_id": "None"}
r,l,t
-25.25,20,11.277631
-28.7,21,11.293632
-26.05,21,11.301745
-25.5,20,11.30876
-25.9,20,11.315402
-25.8,21,11.33143
-25.45,20,11.338539
-25.05,20,11.350976
-27.6,21,11.368871
-25.7,20,11.376963
-24.8,20,11.384959
-26.05,21,11.402082
-25.05,20,11.409077
-26.05,21,11.417857
-25.0,20,11.432524
-27.15,21,11.440516
-25.05,20,11.44844
-25.45,20,11.465392
-26.8,20,11.473488
-25.25,20,11.481629
-26.3,20,11.498814
-25.45,20,11.507927
-25.0,20,11.514929
-25.2,20,11.530979
-26.7,20,11.538989
-26.0,21,11.547994
-25.6,21,11.559111
-25.0,20,11.579891
-27.1,21,11.587975
-26.4,22,11.595974
-25.6,21,11.615111
-26.25,21,11.625081
-24.6,20,11.634207
-25.25,20,11.655159
-27.15,20,11.662161
-26.8,22,11.671751
-24.8,20,11.701579
-26.15,20,11.71815
-28.35,22,11.729347
-26.9,21,11.74733
-28.25,20,11.760359
-25.7,20,11.769941
-25.4,21,11.790426
-26.2,20,11.808889
-27.15,20,11.825771
-24.6,20,11.844029
-25.7,20,11.866024
-27.15,20,11.886245
-24.8,20,11.908437
-25.2,20,11.918657
-25.65,20,11.925672
-25.0,20,11.935591
-24.65,20,11.955525
-25.6,20,11.968116
-27.2,20,11.974115
-25.8,21,11.989549
-25.25,20,11.997551
-25.2,20,12.0046
-25.05,20,12.020991
-25.65,20,12.033022
-24.85,20,12.045004
-28.8,20,12.06186
-25.1,20,12.071006
-25.85,20,12.081999
-24.8,20,12.100674
-25.0,20,12.116246
-26.35,20,12.130433
-24.8,20,12.140437
-26.2,21,12.161495
-24.6,20,12.172093
-25.2,21,12.181097
-24.8,20,12.19518
-25.2,20,12.202294
-28.35,21,12.209295
-25.4,20,12.230415
-25.4,21,12.239417
-25.2,20,12.246425
-26.05,21,12.269302
-25.0,20,12.2793
-25.2,20,12.286232
-25.2,20,12.301418
-26.85,21,12.310349
-25.9,20,12.317912
-26.25,20,12.330926
-25.2,20,12.339604
-25.05,20,12.347789
-24.8,20,12.373344
-24.8,20,12.388339
-24.85,20,12.395333
-26.1,20,12.402464
-27.45,21,12.42215
-25.2,20,12.431294
-25.0,20,12.444214
-24.85,20,12.472159
-24.4,20,12.481239
-25.2,20,12.489239
-25.45,20,12.507477
-30.1,22,12.515106
-25.65,20,12.522189
-26.05,21,12.53824
-25.2,20,12.545236
-24.6,20,12.553103
-24.6,20,12.568844
-25.4,20,12.576846
-25.65,20,12.586836
-25.4,20,12.60388
-26.1,20,12.611877
-24.8,20,12.619601
-25.45,20,12.627324
-41.3755,31,12.882107
-38.85,26,12.894976
-53.0,39,12.921624
-45.75,39,12.946656
-46.83,44,12.96282
-36.45,30,12.982285
-34.26,25,12.993258
-38.13,32,13.013605
-51.1,45,13.032624
-49.65,37,13.067935
-53.7,41,13.094063
-32.665,28,13.109676
-41.15,35,13.134375
-31.03,22,13.143377
-35.63,27,13.153135
-59.95,54,13.181846
-41.15,30,13.20593
-33.28,25,13.227157
-39.15,32,13.261326
-52.9,45,13.280582
-41.5,36,13.30365
-41.9,36,13.318817
-40.23,31,13.3443
-45.15,39,13.361026
-51.4,43,13.385185
-31.83,20,13.393096
-40.18,32,13.41771
-46.15,40,13.441161
-40.9,35,13.454202
-45.25,37,13.478684
-42.35,37,13.492684
-41.98,33,13.510807
-48.775,42,13.527292
-43.3,37,13.549365
-37.095,31,13.561411
-41.415,36,13.582205
-41.45,30,13.600138
-56.1,51,13.618304
-44.25,35,13.639941
-38.63,29,13.65051
-33.18,25,13.666809
-44.45,37,13.6798
-47.0,42,13.70464
-37.9,32,13.71648
-30.1,21,13.735668
-40.58,29,13.746656
-40.35,34,13.768121
-39.35,33,13.779294
-41.65,34,13.799592
-35.35,29,13.810713
-34.9,28,13.833636
-50.23,41,13.848708
-39.0,30,13.872164
-40.45,33,13.885216
-34.43,31,13.906344
-34.58,26,13.916094
-42.4,27,13.937268
-40.08,30,13.948659
-31.322,21,13.955777
-46.7,37,13.989398
-40.21,28,14.008018
-42.1,34,14.036855
-45.2,34,14.066517
-42.35,37,14.090622
-48.85,44,14.129358
-42.05,32,14.14135
-43.05,28,14.162025
-43.8,37,14.176462
-36.25,31,14.196144
-41.08,29,14.208172
-33.38,25,14.226515
-48.5,38,14.241955
-42.75,33,14.26317
-32.48,23,14.273741
-39.0,30,14.29523
-43.7,33,14.311497
-43.28,33,14.333575
-47.6,43,14.349619
-38.803,31,14.369359
-33.95,28,14.380141
-38.7,31,14.399283
-39.35,31,14.411236
-40.5,31,14.441713
-41.08,32,14.458161
-31.95,26,14.479682
-41.05,34,14.493592
-45.0,37,14.523
-32.875,26,14.532987
-41.8,32,14.556638
-33.28,24,14.566195
-44.4,36,14.580245
-44.28,34,14.613298
-34.65,27,14.629117
-50.4,44,14.653191
-46.4,38,14.67586
-39.35,33,14.687944
-47.8,41,14.711414
-28.45,24,14.72026
-38.38,27,14.736543
-42.45,31,14.74942
-45.4,39,14.770016
-37.05,27,14.780068
-45.2,38,14.800763
-33.83,25,14.809763
-36.95,31,14.830582
-55.6,47,14.84791
-48.9,41,14.870857
-38.45,29,14.882216
-47.05,38,14.906567
-43.5,36,14.929278
-27.93,21,14.94027
-35.8,31,14.963779
-31.38,23,14.990342
-42.45,35,15.006388
-44.1,37,15.030908
-31.75,26,15.040909
-44.95,39,15.067384
-42.7,32,15.084182
-43.7,33,15.105251
